Price,Speed,Ram,HDD,Class
309.52,2.34,2485,1174,Personal
231.96,1.14,2294,1475,Personal
306.95,1.29,2868,1608,Personal
342.73,1.86,2505,1379,Personal
272.06,1.38,2873,1210,Personal
262.64,1.07,2354,1395,Personal
361.5,1.21,2539,1386,Personal
334.0,1.77,2575,1581,Personal
361.08,1.08,2295,1668,Personal
336.86,1.55,3144,1312,Personal
441.52,1.83,2863,1334,Personal
360.0,2.01,2656,1690,Personal
268.16,0.93,2237,1615,Personal
341.07,1.44,2956,1473,Personal
416.94,1.72,2729,1629,Personal
329.06,1.98,2155,1563,Personal
482.51,1.95,2369,1461,Personal
268.17,0.83,2478,1571,Personal
358.79,1.25,2140,1659,Personal
300.25,1.64,2662,1454,Personal
243.41,1.12,2160,1316,Personal
311.98,1.17,3129,1362,Personal
414.35,1.25,2751,1523,Personal
207.1,0.94,2483,1441,Personal
315.25,1.57,1889,1490,Personal
344.91,2.41,2712,1765,Personal
304.12,1.54,2956,1528,Personal
323.77,1.19,1910,1955,Personal
351.44,2.16,2400,1244,Personal
253.05,0.87,2647,1471,Personal
212.29,1.11,1673,1511,Personal
311.37,1.6,1973,1673,Personal
319.1,1.3,2243,1757,Personal
564.47,3.82,2568,1806,Business
550.62,3.03,4338,2211,Business
536.71,3.5,3081,1481,Business
518.01,3.26,3498,2091,Business
452.28,3.25,3970,1705,Business
675.56,4.48,3224,2475,Business
470.68,3.54,3966,1810,Business
463.49,3.37,3186,1747,Business
587.9,3.86,2629,1931,Business
663.87,4.54,3724,1857,Business
476.35,2.37,3511,2012,Business
487.27,3.43,3532,1666,Business
524.65,2.83,3362,1982,Business
543.92,3.86,3578,1949,Business
607.42,3.51,3556,2078,Business
588.92,3.91,3619,2015,Business
528.26,3.24,4364,1628,Business
520.96,3.47,3294,1968,Business
494.93,3.41,3828,1698,Business
553.18,3.52,2919,1785,Business
479.63,3.76,3416,2184,Business
420.59,3.16,3626,2042,Business
445.92,2.76,3239,1839,Business
564.97,3.12,3483,2292,Business
534.37,3.16,3158,2038,Business
470.24,3.09,2953,1935,Business
509.17,3.41,3692,1829,Business
481.96,3.45,3108,1736,Business
434.81,3.25,3516,2033,Business
617.44,3.3,3645,1962,Business
439.41,4.02,3768,1610,Business
471.02,2.79,4014,1809,Business
519.95,4.01,2862,1966,Business
767.65,5.35,6090,2353,Gaming
694.19,5.8,4969,1476,Gaming
758.2,5.44,4572,2007,Gaming
676.01,4.63,4460,1716,Gaming
629.89,4.44,5028,1734,Gaming
767.41,5.14,4994,2150,Gaming
763.81,5.73,5143,1733,Gaming
675.59,4.65,5313,1722,Gaming
701.4,4.02,4611,1978,Gaming
620.91,4.99,4187,1656,Gaming
761.96,4.71,4530,2195,Gaming
725.3,4.78,5592,1822,Gaming
773.21,5.42,5275,1930,Gaming
687.87,5.3,5091,2010,Gaming
658.08,5.56,5163,2025,Gaming
818.82,5.04,5015,1813,Gaming
751.11,5.07,5391,1875,Gaming
815.64,5.51,5151,2178,Gaming
712.05,5.45,4961,1633,Gaming
735.09,5.1,4833,2303,Gaming
678.95,5.06,5463,2033,Gaming
760.49,4.99,4927,2113,Gaming
804.64,5.29,5733,2085,Gaming
789.92,5.4,5552,1916,Gaming
698.08,4.8,5125,1948,Gaming
630.94,5.16,4920,1769,Gaming
778.0,4.89,5412,2057,Gaming
729.95,5.37,5089,2062,Gaming
753.49,5.43,4970,1779,Gaming
709.15,5.37,4509,2055,Gaming
756.92,5.38,4815,1973,Gaming
788.96,5.11,5208,2131,Gaming
683.43,5.25,5463,1950,Gaming
